编号,范围,单位,默认值,数据类型,属性,保留,模式
148,0~65535,NA,0,U16,RW,N,
149,0~65535,NA,0,U16,RW,N,
150,0~65535,NA,0,U16,RW,N,
151,0~65535,mv,0,U16,RW,N,
152,0~4095,NA,0,U16,RW,N,
153,0~5000,mv,0,U16,RW,N,
154,0~5000,mv,0,U16,RW,N,
155,0~2,NA,0,U16,RW,N,
156,0~2,NA,0,U16,RW,N,
157,0~16,NA,0,U16,RW,N,
158,-2147483648~2147483647,pul,0,U32,RW,N,
159,0~65535,NA,0,NA,RW,N,
160,0~5000,rpm,0,U16,RW,N,
161,0~65535,NA,0,U16,RW,N,
162,0~65535,NA,0,U16,RW,N,
163,0~65535,NA,0,U16,RW,N,
164,0~65535,NA,0,U16,RW,N,
165,0~65535,NA,0,U16,RW,N,
166,0~65535,NA,0,U16,RW,N,
167,0~65535,NA,0,U16,RW,N,
168,-2147483648~2147483647,NA,0,U32,RW,N,
169,0~65535,NA,0,NA,RW,N,
170,-2147483648~2147483647,NA,0,U32,RW,N,
171,0~65535,NA,0,NA,RW,N,
172,0~1,NA,0,U16,RW,N,
173,0~1,NA,0,U16,RW,N,
174,0~1,NA,0,U16,RO,N,
175,0~1,NA,0,U16,RO,N,
176,0~1,NA,0,U16,RO,N,
177,0~1,NA,0,U16,RO,N,
178,0~1,NA,0,U16,RO,N,
179,0~1,NA,0,U16,RO,N,
180,0~1,NA,0,U16,RW,N,
181,0~65535,ms,0,U16,RW,N,
182,0~5000,rpm,0,U16,RW,N,
183,-2147483648~2147483647,pul,0,U32,RW,N,
184,0~65535,NA,0,NA,RW,N,
185,-2147483648~2147483647,pul,0,U32,RW,N,
186,0~65535,NA,0,NA,RW,N,
187,0~5000,rpm,0,U16,RO,N,
188,0~5000,rpm,0,U16,RW,N,
189,0~5000,pul,0,U16,RW,N,
190,0~5000,rpm,0,U16,RW,N,
191,0~65535,NA,0,U16,RW,N,
192,0~65535,NA,0,U16,RW,N,
193,0~65535,NA,0,U16,RW,N,
194,0~65535,rpm,0,U16,RW,N,
195,0~65535,rpm,0,U16,RW,N,
196,0~65535,rpm,0,U16,RW,N,
197,0~1,NA,0,U16,RO,N,
198,0~1,NA,0,U16,RO,N,
199,0~1,NA,0,U16,RO,N,
200,0~5000,rpm,0,U16,RW,N,
201,0~1,NA,0,U16,RO,N,
202,0~65535,NA,0,U16,RW,N,
203,0~65535,NA,0,U16,RW,N,
204,0~65535,NA,0,U16,RW,N,
205,0~65535,NA,0,U16,RW,N,
206,0~65535,NA,0,U16,RO,N,
207,0~65535,NA,0,U16,RW,N,
208,0~65535,mv,0,U16,RO,N,
209,0~65535,mv,0,U16,RO,N,
210,0~16,NA,0,U16,RW,N,
211,0~16,NA,0,U16,RW,N,
212,0~16,NA,0,U16,RW,N,
213,0~16,NA,0,U16,RW,N,
214,0~16,NA,0,U16,RW,N,
215,0~16,NA,0,U16,RW,N,
216,0~16,NA,0,U16,RW,N,
217,0~16,NA,0,U16,RW,N,
218,0~16,NA,0,U16,RW,N,
219,0~16,NA,0,U16,RW,N,
220,0~16,NA,0,U16,RW,N,
221,0~16,NA,0,U16,RW,N,
222,0~16,NA,0,U16,RW,N,
223,0~1,NA,0,U16,RW,N,
224,0~1,NA,0,U16,RW,N,
225,0~1,NA,0,U16,RW,N,
226,0~1,NA,0,U16,RW,N,
227,0~1,NA,0,U16,RW,N,
228,0~1,NA,0,U16,RW,N,
229,0~1,NA,0,U16,RW,N,
230,0~1,NA,0,U16,RW,N,
231,0~1,NA,0,U16,RW,N,
232,0~1,NA,0,U16,RW,N,
233,0~1,NA,0,U16,RW,N,
234,0~65535,NA,0,U16,RW,N,
235,0~65535,NA,0,U16,RW,N,
236,0~65535,NA,0,U16,RW,N,
237,0~65535,NA,0,U16,RW,N,
238,0~8,NA,0,U16,RW,N,
239,0~8,NA,0,U16,RW,N,
240,0~8,NA,0,U16,RW,N,
