编号,范围,单位,默认值,模式,属性,保留,
145,0~10000,NA,100,SPT,RW,N,
146,1~100,NA,100,SPT,RW,N,
147,0~65535,Pulse,40,SPT,RW,N,
148,1~100,NA,50,SPT,RW,N,
149,0~65535,NA,0,,RW,Y,
150,0~65535,NA,0,,RW,Y,
151,0~65535,NA,0,,RW,Y,
152,0~65535,NA,0,,RW,Y,
153,0~65535,ms,100,,RW,N,
154,0~65535,ms,100,,RW,N,
155,0~65535,NA,0,,RW,Y,
156,0~65535,NA,0,,RW,Y,
157,0~65535,NA,0,,RW,Y,
158,-32768~32767,RPM,0,,RW,N,
159,0~1,NA,0,SPT,OR,N,
160,0~1,NA,0,SPT,OR,N,
161,-1000~+1000,mA,0,SPT,OR,N,
162,-1000~+1000,mA,0,SPT,OR,N,
163,-1000~+1000,mA,0,SPT,OR,N,
164,-1000~+1000,mA,0,SPT,OR,N,
165,-1000~+1000,mA,0,SPT,OR,N,
166,-1000~+1000,mA,0,SPT,OR,N,
167,-1000~+1000,mA,0,SPT,OR,N,
168,-1000~+1000,mA,0,SPT,OR,N,
169,0~111,NA,0,SPT,OR,N,
170,0~4294967295,Pulse,0,SPT,OR,N,
171,0~65535,Pulse,0,SPT,OR,N,
172,0~4294967295,Pulse,0,SPT,OR,N,
173,0~65535,Pulse,0,SPT,OR,N,
174,-32768~32767,RPM,0,SPT,OR,N,
175,-32768~32767,RPM,0,SPT,OR,N,
176,-32768~32767,Pulse,0,SPT,OR,N,
177,-32768~32767,RPM,0,SPT,OR,N,
178,-32768~32767,mA,0,SPT,OR,N,
179,-32768~32767,mA,0,,RW,N,
180,-32768~32767,mA,0,,OR,Y,
181,0~65535,NA,0,,RW,Y,
182,0~65535,NA,0,,RW,Y,
183,0~16,NA,0,SPT,RW,N,
184,0~16,NA,0,SPT,RW,N,
185,0~16,NA,0,SPT,RW,N,
186,0~16,NA,0,SPT,RW,N,
187,1~65535,0.1ms,10,SPT,RW,N,
188,0~1,NA,0,SPT,OR,N,
189,0~1000,mA,10,SPT,RW,N,
190,0~3000,RPM,10,SPT,RW,N,
191,0~65535,Pulse,100,SPT,RW,N,
192,0~1,NA,0,SPT,OR,N,
193,0~1,NA,0,SPT,OR,N,
194,0~1,NA,0,SPT,OR,N,
195,0~200,oC,0,SPT,OR,N,
196,0~200,oC,0,SPT,OR,N,
197,0~65535,NA,0,SPT,OR,N,
198,0~65535,NA,0,SPT,RW,N,
199,0~65535,NA,0,SPT,OR,N,
200,0~65535,NA,0,SPT,OR,N,
201,0~65535,NA,0,SPT,OR,N,
202,0~2000,NA,1000,,RW,N,
203,0~19,NA,0,,RW,N,
204,0~1,NA,0,,RW,N,
205,0~1,NA,0,,RW,N,
206,0~65535,NA,1,,RW,N,
207,0~65535,ms,50,,RW,N,
208,0~65535,NA,0,,RW,Y,
209,0~5000,mA,2000,SPT,RW,N,
210,0~5000,RPM,3500,SPT,RW,N,
211,0~6000,mA,5000,SPT,RW,N,
212,0~65535,ms,3000,SPT,RW,N,
213,0~1,NA,0,SPT,RW,N,
214,0~1,NA,0,SPT,RW,N,
215,0~1,NA,0,SPT,RW,N,
216,-2147483648~2147483647,Pulse,0,SPT,RW,N,
217,0~65535,Pulse,0,SPT,RW,N,
218,-2147483648~2147483647,Pulse,0,SPT,RW,N,
219,0~65535,Pulse,0,SPT,RW,N,
220,0~1,NA,0,SPT,RW,N,
221,0~1,NA,0,SPT,RW,N,
222,0~1000,Volts,0,SPT,OR,N,
223,50~60,℃,70,SPT,RW,N,
224,50~60,℃,60,SPT,RW,N,
225,60~90,℃,75,SPT,RW,N,
226,0~65535,Pulse,5000,SPT,RW,N,
227,0~65535,RPM,50,SPT,RW,N,
228,60~90,NA,80,,RW,N,
229,0~65535,NA,0,,RW,N,
230,0~12,NA,0,,RW,N,
231,0~1,NA,0,,RW,N,
232,0~12,NA,0,,RW,N,
233,0~1,NA,0,,RW,N,
234,0~1,NA,0,,RW,N,
235,0~12,NA,0,,RW,N,
236,0~6,NA,0,SPT,RW,N,
237,0~12,NA,0,SPT,RW,N,
238,0~12,NA,0,SPT,RW,N,
239,0~12,NA,0,SPT,RW,N,
240,0~12,NA,0,SPT,RW,N,
241,0~12,NA,0,SPT,RW,N,
242,0~12,NA,0,SPT,RW,N,
243,0~12,NA,0,SPT,RW,N,
244,0~12,NA,0,SPT,RW,N,
245,0~12,NA,0,SPT,RW,N,
246,0~6,NA,0,SPT,RW,N,
247,0~6,NA,0,SPT,RW,N,
248,0~6,NA,0,SPT,RW,N,
249,0~6,NA,0,SPT,RW,N,
250,0~12,NA,0,SPT,RW,N,
251,0~1,NA,0,SPT,RW,N,
252,0~1,NA,0,SPT,RW,N,
253,0~1,NA,0,SPT,RW,N,
254,0~1,NA,0,SPT,RW,N,
255,0~1,NA,0,SPT,RW,N,
256,0~1,NA,0,SPT,RW,N,
257,0~1,NA,0,SPT,RW,N,
258,0~1,NA,0,SPT,RW,N,
259,0~1,NA,0,SPT,RW,N,
260,0~1,NA,0,SPT,RW,N,
261,0~1,NA,0,SPT,RW,N,
262,0~1,NA,0,SPT,RW,N,
263,0~1,NA,0,SPT,RW,N,
264,0~1,NA,0,SPT,RW,N,
265,-1000~1000,mV,0,SPT,OR,N,
266,-1000~1000,mV,0,SPT,OR,N,
267,0~4999,mV,0,SPT,RW,N,
268,0~4999,mV,0,SPT,RW,N,
269,0~65535,NA,0,SPT,RW,N,
270,0~65535,NA,0,SPT,RW,N,
271,0~65535,NA,0,SPT,RW,N,
272,0~2,℃,0,SPT,RW,N,
273,0~65535,NA,0,SPT,RW,N,
274,0~65535,NA,0,SPT,RW,N,
275,0~65535,NA,0,SPT,RW,N,
276,0~65535,NA,0,SPT,RW,N,
277,0~65535,NA,0,SPT,RW,N,
278,0~65535,NA,0,SPT,RW,N,
279,0~65535,NA,1,SPT,RW,N,
280,0~65535,ms,100,SPT,RW,N,
281,0~4294967295,pulse,0,SPT,RW,N,
282,0~65535,Pulse,0,SPT,RW,N,
283,0~65535,NA,0,SPT,RW,N,
284,0~65535,NA,0,SPT,RW,N,
285,0~65535,NA,0,SPT,RW,N,
286,0~65535,NA,0,SPT,RW,N,
287,0~65535,NA,0,SPT,RW,N,
288,0~2,NA,0,SPT,RW,N,
289,0~100,RPM,5,SPT,RW,N,
290,1000,NA,1000,SPT,OR,N,
291,0~10000,NA,0,SPT,OR,N,
292,0~65535,NA,0,SPT,RW,N,
293,0~65535,NA,0,SPT,RW,N,
294,0~65535,NA,0,SPT,RW,N,
295,0~65535,NA,0,SPT,RW,N,
296,0~65535,NA,0,SPT,RW,N,
297,0~65535,NA,0,SPT,RW,N,
298,0~65535,NA,0,SPT,RW,N,
299,0~65535,NA,0,SPT,RW,N,
300,0~65535,NA,0,SPT,RW,N,
301,0~65535,NA,0,SPT,RW,N,
302,0~65535,NA,0,SPT,RW,N,
303,0~65535,NA,0,SPT,RW,N,
304,0~65535,NA,0,SPT,RW,N,
305,0~65535,NA,0,SPT,RW,N,
306,0~65535,NA,0,SPT,RW,N,
307,0~65535,NA,0,SPT,RW,N,
308,0~65535,NA,0,,RW,N,
309,0~65535,NA,0,,RW,N,
310,0~65535,NA,0,,RW,N,
311,0~65535,NA,0,,RW,N,
312,0~3,NA,0,,RW,N,U
313,0~65535,ms,0,,RW,N,
314,0~65535,NA,0,,RW,N,
315,0~2,NA,0,,RW,N,
316,0~1,NA,0,,RW,N,
317,0~4294967295,Pulse,0,,RW,N,
318,0~65535,Pulse,0,,RW,Y,
319,0~65535,ms,0,,RW,N,
320,0~65535,NA,0,,RW,N,
321,0~999,NA,0,,RW,N,
322,0~65535,NA,0,,RW,N,
323,0~65535,NA,0,,RW,N,
324,0~65535,NA,0,,RW,N,
325,0~65535,NA,0,,RW,N,
326,0~65535,NA,0,,RW,N,
327,0~65535,NA,0,,RW,N,
328,0~65535,NA,0,,RW,N,
329,0~65535,NA,0,,RW,N,
330,0~65535,Pulse,0,,RW,N,
331,0~65535,Pulse,0,,RW,N,
332,0~65535,Pulse,0,,RW,N,
333,0~65535,Pulse,0,,RW,N,
334,0~65535,Pulse,0,,RW,N,
335,0~65535,NA,0,,RW,N,
336,0~65535,NA,0,,RW,N,
337,0~65535,NA,0,,RW,N,
338,0~65535,NA,0,,RW,N,
339,0~65535,NA,0,,RW,N,
340,0~65535,NA,0,,RW,N,
341,0~65535,NA,0,,RW,N,
342,0~65535,NA,0,,RW,N,
343,0~65535,NA,0,,RW,N,
344,0~65535,NA,0,,RW,N,
345,0~65535,NA,0,,RW,N,
346,0~65535,NA,0,,RW,N,
347,0~65535,NA,0,,RW,N,
348,0~4294967295,Pulse,0,,RW,N,
349,0~65535,NA,0,,RW,Y,
